userName,content,score
Desdi Kurniawan,pembayaran akhir nggk sesuai dgn harga diskon yg tertera apakah apknya eror min?,3
Suripno Ripno,Keren bosqu online belanja prduk eceran dan ketengan mantap tingkatkan lagi bosqu...sangat bermanfaat,5
Rudi Santoso095,toko original,5
Stephen Timotius,produknya keren dan mudah ordernya,5
Rina Janeta,Zalora...paling ok..👍👍👍,5
Emil Putra,Barangnya bagus dan mantap,5
Wahyu yudha Perkasa,Mantaaaap Djiwaaaa,5
Yudha Dwy,👍,4
Arva Fitri,nice,5
Muhammad Fikri Akbar,"Saya sangat suka dengan UI yang tertata rapi dan tidak mebingungkan, pertahankan. Saya ingin memberi saran untuk fitur keranjang, setiap kali menchecklist barang selalu menampilkan loading, dan ini hal yang sejauh ini sangat mengganggu mohon perbaiki.",5
Airin Diany,terbaik,3
BEETHOVEN,"dana refund yg msuk ke store kredit gk bsa dicairkan ke rekening, ampas,mahal, pntes sepi pngguna skrg 👎👎 ",1
Sumroh,Zalora intens be scure bahan branded ternama dan berbagi immedianten an scure ve tue. Zalora intens in live Summers.,5
Mr AF,"sangat bagus...saya pengguna baru,semoga nyaman dengan apk ini",5
Muhyan Aminullah,Mantaap belanja disini tdk mengecewakan,5
shasa najma,Mm pl ok,4
Alex Turner,barang original,5
Lulu Suwito,"Back to Zalora, seblm ada olshop yg lain, udh jd costumer disini, kwalitas selalu dijaga.",5
Bonaventura Aldino,good,5
meydi yuwanda,top,5
Nailah 222,kereen juga ini Zaloraa...,4
Samsul arifin,mantap,5
mingga rahmalia,cepat dan produknya bagus².,5
Winda Winda,good much..,4
ricky satria,bagus,5
Suprihartini,puas sekali,5
bundanya aurel84,sangat membantu,5
Nopita Sari,"Barang nya bagus ,tapi pas saya pesan tas ada robekan di bagian bawah nya",2
Gee apriyanto,Sangat puas belanja dizalora,5
Ridky Dharin,Pokoknya mantap,5
Kania Resmayanti,selamanya..tapi tampilkan padamu yanthie dirumah gua juga jangankan untuk melaksanakan nyanyian dirimu yang selalu buat aku tersenyum,4
Soni wijaya wijaya,sangat bagus,5
Andri Palar,ok,5
Khaerul Umam,ok,4
Fajar Yanuar,Mantab,5
fuad elvan,bagus,5
Kucing orange,"complain saya tolong cepet dikonfirmasi, udh dr kemarin gaada jawaban",4
endrik mila,pemula,5
Soni Tombeng,Uq,5
STONES STONES,🙏,5
Badar Maulana,produknya keren,5
Dewi Eka Handayani,belanja di zalora barang2nya berkualitas dan sgt baik,5
andy achmad,terbaik,5
Arief Makami,bagus 😍,5
zoyE,not bad,3
Holden Sirait,mntap,5
Pang Seven,"Pakaian online terpercaya,,setiap beli detail good",5
Tom Joad,Nice tara,5
Fahmi Syibti,bagus,5
quaeneisha dwiaprillia,aplikasi nya sangat bagus,5
Muhamad Iman,Jos,5
Iwan Hermawan,"zalora, original product, mantap",5
andre asyam,awesome,5
rantimaria 5758,Koleksinya gak kaya dulu,3
Hello my name is Kicky,"Pesan parfum melalui plafon ini cuma gila lama bener pengiriman nya hampir 1 Minggu gak ada respon dari toko sama pihak pengiriman/expedisi nya , kalo mau order lagi disini agak mikir mikir dulu deh kalo gak urgent urgent banget pengiriman nya yang bikin gak betah belanja disini , terima kasih",3
Iwan Setiawan,"BERBELANJA DI ZALORA NYAMAN, BANYAK DISCOUNT DAN DIJAMIN ORIGINAL.",5
TOPADA,Ok,4
Nana Badri,Sangat menyenangkan berbelanja di zalora pelayanan memuaskan dan proses penukaran atau pengembalian di respon dgn cepat,5
Aman Buamona,mantap,5
Vandear LA,very nice,5
moch choiron,Menyenangkan,5
Edie Soetanto,Senang belanja di Zalora karena ORI dan pengiriman super cepat. Sering ada promo. Zalora my favorite. Sukses selalu zalora.,5
Ahmadi Madi,Pengalaman saya beli di zalora semua nya original. Respon dari pihak zaloranya sangat cepat dan profesional. Sangat rekomended untuk belanja di zalora,5
